exchange_idx,OBSID,student_text,teacher_text,gold_is_otr,gold_elicitation_type,gold_response_type,gold_cognitive_depth,pred_is_otr,pred_elicitation_type,pred_response_type,pred_cognitive_depth
2039_138,2039,"When there's like two classes, you–",Does it have to be classes?,yes,individual,verbal,test,yes,individual,verbal,authentic
4002_128,4002,"I did 4 tens blocks, then 9 blocks right here.  Then I accidentally did 3 here, but I changed it to 2, so I got remainder 2.","If you got an answer of 49 remainder 2, that’s what everybody got, correct?",yes,choral,"verbal, gestural",test,yes,choral,verbal,test
2437_36,2437,Because a right angle makes a square.,"Maybe the corner of it, you can put a little box in there. You're actually correct, okay?  Two and five are no goes. What about our right angle?  Again, easy to remember.  When we see the word right, think of what you can think of in your brain, when you think of the word right.  What do you think it's going to be?  I don't need to tell you.",no,,,,yes,choral,verbal,test
795_155,795,"If you start from week six in the salads sales, it goes down.","But when you're opening, it doesn't start at week six.  So what is that really showing you?  What does it show with the sales, the hamburger sales?",yes,individual,verbal,test,yes,choral,verbal,authentic
4243_346,4243,It can’t be round.,Which would also classify under what?  What sides?,yes,individual,verbal,test,yes,choral,verbal,test
4103_96,4103,12 from 16 and that equals 4.  And then I went on to this number 8 and I bring this number down here.  Then I see how many times 48 goes into 6 and I said 8.  Then I put 8 up here.  Then I did 8 times 6 and that equals 48.  Then I subtracted 8 take away 0 and then I checked this by multiplication.,Oh great.  How many people checked theirs by multiplication? Good.  I didn't even say to do it.  That's great.,yes,choral,gestural,test,yes,choral,gestural,test
683_210,683,"One, two, three, four, five, six, seven, eight.  Eight.",Eight sixteenths.  Are you sharing that with your group because you just found your equivalent fraction.  Share it with your group and everybody can put it on their chart.  What did you find?,yes,peer-directed,verbal / production,test,yes,individual,verbal,test
2525_113,2525,Is it correct or wrong?,Thumbs up or thumbs down?,yes,choral,gestural,test,yes,choral,gestural,test
4158_279,4158,A part of a whole.,"A part of a whole.  Okay, what does the denominator represent? The denominator, Student F?",yes,individual,verbal,test,yes,individual,verbal,test
455_171,455,"Miss L gets – you could figure it out by doing like 6 times 3, it equals 18.",Why did you do 6 times 3?,yes,individual,verbal,authentic,yes,individual,verbal,authentic
4554_60,4554,I am staying single for life. There is no way.,"All right, let’s see who’s done here. This is taking much longer than I thought. You got it, Student C, you are good to go. You are going to have a hard time with this because you stacked them in crazy little piles. How about if you bring all these 12’s over here and all these fourths. We are missing one of these. Trash?",no,,,,no,,,
4693_13,4693,The angles are the same because it’s the same lines and length.,"In an equilateral triangle, all the sides are the same, all the angles are the same, but an isosceles triangle here, what if I told you that only two angles were the same and one was different? Which two angles would be the same?",yes,individual,verbal,authentic,yes,individual,verbal,test
4363_6,4363,"Multiplication is like, say, for instance, 9 times 20. [You just take – nine just nine times and add it up].","Okay, so repeated addition. Student R.",no,,,,yes,individual,verbal,test
4088_89,4088,It looks like he has more.,"But does he? Did you count? I’m still not sure. I know the theory is right. How many do you have, Student J? You have 19? Is that a group of 5?",no,,,,yes,individual,verbal,test
470_476,470,It looks like a gas station.,A gas station.,no,,,,no,,,
254_157,254,Because the 400 -- it's supposed to be 403.,And 403 is how much bigger than 400?,yes,choral,verbal,test,yes,individual,verbal,test
2692_91,2692,Anything times one is the other number.,Anything times one –,yes,choral,verbal,test,no,,,
2624_5,2624,Because later in your life it might be useful for us.,"Not even later in life, right now you will need this; but you will need it later, yes, possibly. Student S?",no,,,,yes,individual,verbal,authentic
4363_12,4363,When you have groups of numbers and you just add them all up.,Combining groups. Can somebody give me an example? Go ahead.,yes,individual,verbal,authentic,yes,individual,verbal,authentic
4415_95,4415,It doesn’t end with a 0. The 2 doesn’t end with a 0.,"Good job. And the last one, 6. Is 6 divisible by 10, Student S?",yes,individual,verbal,test,yes,individual,verbal,test
2304_303,2304,The area is 12 inches squared.,Student J? Good. And how did you get 12 inches squared?,yes,individual,verbal,test,yes,individual,verbal,authentic
4158_23,4158,My low choice would be 26 million and 354 thousand and 2 hundred.,"Okay, and which did you select?",no,,,,yes,individual,verbal,test
4158_143,4158,I thought that was hundredths.,"Okay, we have – say this with me – tens.",yes,choral,verbal,authentic,yes,choral,verbal,test
208_167,208,That's half and one-sixth.,"Okay. And illustrate that all the way. So if you have them all together though, how would we say what the total is? How would we write the fraction that it equals, 'cause it's less than one, right.",no,,,,yes,choral,production,test
4620_108,4620,"It doesn’t work like that with the decimal, does it?","It has a decimal here, so you wouldn’t have to have a decimal in your answer, because you have a decimal here in these dimensions. That’s okay. Please carry those scissors correctly. Okay.",no,,,,no,,,
4620_156,4620,"Then we did the height, we measured it, 5 centimeters, then the width and the volume was – this, we just leave 0.5 over here.","You’re going to have to multiply 4 times 5, then we have to multiply 20 times 4.5. Take it back to what we did a long time ago with decimals. You have to multiply 20 times 4.5, like that, okay?",no,,,,yes,choral,verbal,test
2692_173,2692,"Why don’t we just do Fast Math with a group? You make Fast Math a group, so when we’re in group then some people learn Fast Math.","You’re right. But remember, we are doing a Fast Math group and a morning math, so you’ll get both of that. It will be – it’s about 10 minutes. This might be a little bit longer. It might be about 20 minutes, 10 and 10. So thank you for that. I did write the wrong time up there, so 10 minutes of Fast Math, 10 minutes morning math, 10 minutes of morning math, 10 minutes of Fast Math.",no,,,,no,,,
4243_62,4243,It doesn’t have straight lines.,"What else? It does have a straight line, so don’t polygons have straight lines?",yes,choral,verbal,test,yes,individual,verbal,test
4080_94,4080,"No, one whole, because it’s divided by 12.","So if it’s 12 over 12, that means my answer is 12?",yes,choral,verbal,test,yes,choral,verbal,test
1092_273,1092,If you’re buying a refrigerator.,"Oh, if you’re buying a refrigerator, so you might – like, your family to me is huge, right? Twins and then there’s two other boys and then you have your mom and your dad. So you guys probably definitely need more food than I have, hmm? There’s a lot more people eating there. Student A.",no,,,,yes,individual,verbal,test
480_352,480,Can we write it on the back?,"Yeah, that's a good idea. Really good idea, writing the answer to the matches on the back. You could number them. Like give them a number like one and then match one with one. You could do it like that. If you are doing the matching cards, if you are not close to being finished, I would write down the matches on the back because you don't want to have to start all over tomorrow. Everyone in group two hear me about what I told group one and group three about the math homework tonight? Okay. Do you need help with something? Or are you just double checking your work? Okay, is your– oh, is on there. All right. Baseball pants on the floor.",no,,,,no,,,
4158_284,4158,How many you took out?,"Mm-hmm, how many you're considering and we're talking about yesterday, we always talk about it like it's food – a cake, a Hershey bar, pizzas. But you might not be going to eat it. It might be the pieces you're going to give your friend. It might be, as I said yesterday, the pieces you're going to hide from your brother. Okay, it's the pieces you're considering and you're going to do something with those pieces. Okay, what is an improper fraction? We're kinda going to be moving into that tomorrow and I want to get a feel. Raise your hand if you have a feeling you know what an improper fraction is. Improper. It is strange. It is not right. Student B, what do you feel like that is?",yes,individual,verbal,test,yes,individual,verbal,authentic
4429_23,4429,"1,574 divided by 4.",What’s my first step to solve that division problem?,yes,choral,production,test,yes,choral,verbal,test
4156_78,4156,And at the last day of school it’s going to be 180 because –,How many days are we having in our school year?,yes,individual,verbal,authentic,yes,choral,verbal,test
169_170,169,So we do this one ourselves and then we write problems for our partners?,"This one is not for yourself; right now you are working together with somebody else. You write the problem completely formed the way it is, usually letters –",no,,,,yes,small_group,production,authentic
4717_15,4717,You didn’t put a dot inside.,Is that okay? Can you put the dots there?,yes,choral,verbal,authentic,yes,individual,production,test
4156_43,4156,"According to my pattern, I’ve got it.","Well, we know some strategies to figure it out based on patterns we’ve seen with types of lines and color. So you kind of have some strategies to figure this kind of pattern out. Now while you’re finishing that, about 30 more seconds, as I shade in our next 100th square, I’ll write today’s fraction and decimal, and then we’re going to look at a pattern. Because we’ve got a wonderful number line going around the top of my head right now, and we’re going to add one to that, because today, we have now 10, 20, 30, 40, 50, 60, 70 –",no,,,,no,,,
4206_145,4206,"Every time you go down, why didn’t you subtract 1 minus 1?","Bring down my 8. My new number is 8, so I need 8 or less. Can you see where she got the 6 from the M side? I put a 6 right here, and what number goes with 6? 1. Dragons mean serious business. Is there anything left to bring down? What does that mean? What are we doing with this down here?",yes,choral,verbal,test,yes,choral,verbal,authentic
4363_22,4363,I was thinking of a division one.,Student A.,no,,,,yes,individual,verbal,test
3003_208,3003,We’re missing Student N too. Student N and Student M like to hang out in the bathroom a lot.,"Let’s focus on the assignment I’m trying to give you. So let’s just stop the side conversation and focus on this. I have a number of objects in the back of the room. You guys can’t see them right here. There are buckets, there are coffee cans, there are circular containers, but the thing they all have in common is that they have a circle to them. With your partner, you’re going to send one person to the back of the room. They’re going to get some kind of circular object and a tape measure.",no,,,,yes,small_group,production,test
4651_132,4651,"One you can’t – wait – an odd number – if there’s a one in the one’s place – a one, three – one, three, five, seven or nine in the one’s place then it’s an odd number.","A one, three, five, seven, nine. I agree. But what’s another way?",yes,individual,verbal,authentic,yes,individual,verbal,test
4620_132,4620,We did the first one.,And?,yes,individual,verbal,authentic,yes,individual,verbal,test
97_49,97,It’s like how it is tall?,Yes. How tall something is from the floor up or from the ground up. How tall something is. Okay? What’s the next one? Class?,yes,choral,verbal,test,yes,choral,verbal,test
4415_39,4415,"I know because it is an odd number, and it’s 3, 6, or 9.",You’re forgetting the first part of it. I’ll come back to you. Student J?,yes,individual,verbal,test,yes,individual,verbal,test
4007_103,4007,I don’t get this one.,Why not?,yes,individual,verbal,authentic,yes,individual,verbal,authentic
517_131,517,It didn't go all the way to the 15.,Student S.,yes,,,,yes,individual,verbal,test
517_145,517,The first one is zero.,Exactly.,no,,,,no,,,
912_227,912,"The higher the number, the smaller it is.",You got it. That’s a good thought.,no,,,,no,,,
2236_315,2236,Is this like this? Is it multiplied by [four]?,Hmm?,no,,,,no,,,
4359_377,4359,We don't have no more places.,"We don't have anything left to bring down here, do we?",no,,,,no,,,
235_232,235,It's a square and a triangle.,"Okay. Is it a square? Yes, we used a square to trace because we don't have rectangles, but is it a square if we look at the dimensions? Is it a rectangle or a square?",yes,individual,verbal,test,yes,individual,verbal,test
4620_100,4620,"Yes, but there was space around it.","Okay. No, you can’t cut it. So what could you do? Think about what you could do to fix it. You can’t cut the cube. What? What’s 5 times 5? 25, carry the 2. 5 times 4, 20, plus 2, so use that. 20, carry the 2, 4 times 4. 5, 2, 3, 0, 2. Yes. How many digits are after the decimal? 1, 2. Now you’re not finished. You now need to multiply that times four and five tenths. I need that. Don’t throw that away. There you go. Thank you. Yes, you can measure first. What’s up?",yes,individual,verbal,authentic,yes,individual,verbal,test
2191_25,2191,We did the same thing as Student D did.,Okay. Speak up a little bit.,no,,,,no,,,
754_303,754,"And then I figured out, since I knew that this times that is that, that I can just be three more 20s.","Wonderful. You really did, Student D, honestly. I'm just – I'm so impressed how you used this to help you with this. Wow, what a big week you have made this week. Watch the time. We're coming together in ten minutes.",no,,,,no,,,
1119_405,1119,"– triple, third numbers to write equivalent expressions.","Okay, but this is a lot of new words, a lot of new vocabulary terms that we need to understand before we go on? Yes?",yes,,,,yes,choral,verbal,test
354_232,354,You said it would be a whole.,"Right, seven-sevenths is one whole. Remember, we had to add the seven to the five.",no,,,,no,,,
4562_822,4562,I already did the times –,Three?,no,,,,yes,individual,verbal,test
2119_10,2119,I can make it like that. That's the way it fills up the gas.,That works. So now show three fourths of that.,no,,,,yes,individual,production,test
2816_131,2816,What would eighths fit into?,You used eighths and what are you looking at now that you have sixteenths?,yes,individual,production,test,yes,individual,verbal,test
4562_528,4562,Why do we have so many graphs?,"Do each of you have a copy of this? How many are in that pile? You got too many. Student A, if I catch you away from your group again, you're getting a check.",yes,individual,production,test,no,,,
4063_339,4063,"We know because the rows got – it went from one, to two, then three, then four, then five.","So they increased by one each row. Step back. Who followed what they did? Who’s been to a bowling alley before? Who knows how the pins are arranged? 1, 2, 3, 4, kind of like a pyramid, and that’s exactly what they did. Let’s give them a big round of applause. Good work was done here. You can sit down. I’m going to move this all the way over here, and now I want Student N’s group to come up. All of you. Get the paper. They didn’t have time to do the marker part, but they’ll get to it later and they’re going to present, because we have an early lunch, don’t we, boys and girls? Student A, what time is our lunch?",yes,individual,verbal,authentic,no,,,
593_230,593,There's one right here.,Just mark it. Yeah. Uh-huh.,no,,,,yes,individual,production,test
2077_445,2077,"Teacher L, can you change your dimensions like 3-D and stuff for your bars?","You can do 2-D or 3-D, yes. I already said that.",no,,,,no,,,
4636_175,4636,Up there you put the eighth. The eighth was 7.,So that’s wrong. We made a mistake. My bad.,no,,,,no,,,
2573_225,2573,Can we do it a couple times?,No. Pick something a little bit bigger. I do need – does your not have a back?,,,,,yes,individual,verbal,test
4081_198,4081,Do we do improper and a mixed number?,I like what I’m seeing. How we doing?,no,,,,no,,,
2051_37,2051,"Because I thought that was the decimal, the 82.",Does 82 have a decimal in it or not?,yes,individual,verbal,test,yes,individual,verbal,test
2176_107,2176,That’s what I said.,Seven times fourteen.,no,,,,yes,choral,verbal,test
